排名,标题,分数,播放量,Up主,Up Id,url
18,每天一遍、爱情再见！！,1664854,78.6万,-柠萌菌-,124735327,https://www.bilibili.com/video/av88851650
19,【沙雕配音】祖  安  厨  师,1645403,117.0万,一头的秀发,1887401,https://www.bilibili.com/video/av89671243
20,日本漫画史最强赌局之一，反复看三遍才能完全理解其中的博弈！,1623322,82.5万,小饭中年事件簿,145149047,https://www.bilibili.com/video/av89022700
21,【钉钉】钉 宝 岛,1600471,142.6万,阿里巴巴,250475408,https://www.bilibili.com/video/av89446679
22,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,1566576,74.3万,废柴家里蹲,3751951,https://www.bilibili.com/video/av3534854
23,处处钉（处处吻）,1454498,104.8万,雪饼夫斯基,234116380,https://www.bilibili.com/video/av89123961
24,这智慧树就TM离谱！,1430534,199.7万,肥笨不肥,456772888,https://www.bilibili.com/video/av89889847
25,B站时尚up被全网抄袭！原创者举报抄袭还被辱骂？,1416263,87.8万,文不叮,450595813,https://www.bilibili.com/video/av89932333
26,【处处吻】 愣着干嘛 进来白嫖啊,1381820,68.0万,一本正经的小方,400413571,https://www.bilibili.com/video/av82766716
27,厨师长教你：“炸鲜奶”的家常做法，口感外酥里嫩味道很赞,1359996,138.5万,美食作家王刚R,290526283,https://www.bilibili.com/video/av89577004
28,原来在家自制“周黑鸭”这么简单，以后再也不用去外面买来吃了,1349186,119.3万,翔翔大作战,196356191,https://www.bilibili.com/video/av90007018
29,【书记舞】十四岁少女宅舞初投稿,1341854,129.7万,亦柔酱-,438326839,https://www.bilibili.com/video/av89782275
30,吴亦凡，我接受你的合作邀请,1338011,120.9万,力元君,19642758,https://www.bilibili.com/video/av89558727
31,给弟弟做宵夜，6只手枪大鸡腿配冰可乐，比外卖好吃多了！,1317585,137.1万,盗月社食遇记,99157282,https://www.bilibili.com/video/av89688798
32,诡辩的常用套路有哪些？杠精常用的 11 种逻辑谬误,1308103,38.0万,-阿健-,18690024,https://www.bilibili.com/video/av89349287
33,只有成年人才会误会这些【阅片无数特别篇】,1304169,145.7万,凉风Kaze,14110780,https://www.bilibili.com/video/av89271240
34,【老番茄】史上最憨训练师(第四集),1300587,121.8万,老番茄,546195,https://www.bilibili.com/video/av88747804
35,【博君一肖】细数那些不小心被麦收进来的极有趣的言论,1295323,36.6万,不识东西识你,69227742,https://www.bilibili.com/video/av89446586
36,钉 钉 官 方 ，正 确 求 饶 姿 势 教 学 ！,1281231,126.3万,凯玟桑,120586,https://www.bilibili.com/video/av89880262
37,祖安哥哥,1280589,103.0万,冷淡熊,448039667,https://www.bilibili.com/video/av89391835
38,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,1277516,54.2万,普鲁士ll,2993682,https://www.bilibili.com/video/av50314054
39,猫 和 老 鼠 删 减 片 段,1277389,177.2万,Light小俊,45996403,https://www.bilibili.com/video/av89601492
40,黑头10分钟内消失方法！韩国欧尼的秘方！,1220268,36.0万,安玄真,412505416,https://www.bilibili.com/video/av88637703
41,二哈：卧槽无情,1218156,122.5万,予了故人゛,175919405,https://www.bilibili.com/video/av89355776
42,独创N字打野法，一个月教出1000个金牌娜可露露，易某教你速成野王拥有小迷妹辅助,1211720,71.8万,在下易某很细,254420382,https://www.bilibili.com/video/av89790757
43,【半佛】不涨价的小米，没有未来,1210565,114.2万,硬核的半佛仙人,37663924,https://www.bilibili.com/video/av89460793
44,当爱情公寓人去楼空的时候 最难过的人或许就是张伟吧,1202940,57.2万,小x文,3079413,https://www.bilibili.com/video/av88804854
45,【朱一旦】142  一块劳力士的回家路,1199970,58.2万,朱一旦的枯燥生活,437316738,https://www.bilibili.com/video/av88460964
46,【蔡徐坤】仙剑鸡侠传,1182156,54.9万,金色传说竹鼠,411869738,https://www.bilibili.com/video/av86208216
47,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,1164965,44.3万,带枪小女孩weibo,1960460,https://www.bilibili.com/video/av22227629
48,【出钉】我来给钉钉洗白了！,1132659,80.6万,墨雨清秋,22146057,https://www.bilibili.com/video/av89447274
49,带上耳机，让这场烟花治愈你的心！（混剪5部动画电影制作AMV）,1124427,30.1万,三月七37,309836012,https://www.bilibili.com/video/av89064120
50,午  夜  凶  钉,1121256,113.0万,Mr丶虾仁蒸饺,77849017,https://www.bilibili.com/video/av88536047
51,网课老师:我老婆生孩子了？！,1117721,98.6万,盾w盾,166586601,https://www.bilibili.com/video/av89392190
52,《火影忍者手游》耗时近一年！超级爽的视频！十四亿铜币一次性用完！,1097787,88.5万,小破站最绅士的兔,49900930,https://www.bilibili.com/video/av89742915
53,只有已婚男士才懂得那种苦吧！,1059854,233.1万,长白山小野猪,451115073,https://www.bilibili.com/video/av89147701
54,【男生勿入—5步撩汉大法】学会秒脱单！！绿茶神技你get了吗？再也不当男神舔狗啦～,1053485,50.0万,酷哥李pink儿,314466447,https://www.bilibili.com/video/av89387059
55,全 国 现 状,1039126,95.0万,一打五的猫,286068910,https://www.bilibili.com/video/av89093543
56,个人动画 《你在干嘛》 一对情侣因为不回消息引发的暴力事件,1019892,49.8万,玄铁西瓜,21317726,https://www.bilibili.com/video/av89633913
57,【咬人猫】今天不做饭！在厨房跳！Thumbs Up！,1009462,118.7万,=咬人猫=,116683,https://www.bilibili.com/video/av89206622
58,这TM才叫渣男！,1009097,86.8万,不知耻の紫烟老师,397540531,https://www.bilibili.com/video/av88776049
59,笑到喷饭的你画我猜！我就是”二次元之王“,1008744,106.5万,中国BOY超级大猩猩,562197,https://www.bilibili.com/video/av89540636
60,这大哥玩狼人杀一定很厉害！,1007827,117.0万,瑾上年少,31947530,https://www.bilibili.com/video/av89728525
61,猛 男 收 割 机,984176,94.0万,津木菌,278767626,https://www.bilibili.com/video/av88736757
62,自制洗衣机器人,975255,105.8万,手工耿,280793434,https://www.bilibili.com/video/av89128482
63,我的家人被确诊新冠病毒...说说武汉的真实情况！,963041,70.4万,中二少年晓凯,2733216,https://www.bilibili.com/video/av89659886
64,大人！时代变了！但是鬼知道ADC会变成什么样子！,953074,102.3万,花里胡哨草履虫,35562588,https://www.bilibili.com/video/av89829364
65,【互动游戏】剧情高能！城市出现诡异断肢，真相太恐怖...,921929,46.0万,打泥泥,357229416,https://www.bilibili.com/video/av89616038
66,老师要求2000字作业……,911918,33.9万,好的灿灿,323721830,https://www.bilibili.com/video/av83575591
67,当意识到我把游戏当做逃避责任的工具，我不再玩游戏 | 你真的是在享受游戏么？ | “戒”掉游戏的过程和感受 | 学会把现实世界当真人游戏,905026,35.3万,是落拓呀,43276908,https://www.bilibili.com/video/av89398065
68,【罗汉鬼套路】新版日炎最骚用法 小太阳流龙龟,902530,38.3万,罗汉解说,51896064,https://www.bilibili.com/video/av88759568
69,【抗肺炎】村长硬核广播trap《贱》,897274,39.5万,OELoop,6171645,https://www.bilibili.com/video/av85965831
70,我已经半年没笑死在一个视频了,889552,91.6万,CHIPS老薯条,494662200,https://www.bilibili.com/video/av88496436
71,小伙自制年夜饭必备菜之一“粉蒸肉”肥而不腻入口即化，配上饭真过瘾,881169,104.5万,记录生活的蛋黄派,337521240,https://www.bilibili.com/video/av89654236
72,【明日方舟短漫】女博士的日常1,873759,32.1万,倾羽_QY,5158601,https://www.bilibili.com/video/av89661431
73,日本老师教你五十音！在家轻松上手【绅士一分钟】,868458,24.1万,山下智博,1643718,https://www.bilibili.com/video/av89783927
74,国外三折购物不香吗？海淘手拉手教学 包会！,863775,26.4万,吕政懋MaoMao,254436446,https://www.bilibili.com/video/av86840101
75,少  儿  频  道,861459,55.1万,丛雨_ムラサメ,12821188,https://www.bilibili.com/video/av89239735
76,澄清！这件事这个人不是我啊,857699,114.3万,在下哲别,416128940,https://www.bilibili.com/video/av89185281
77,哈士奇和边牧参加敏捷犬比赛，完全是两种不一样的画风,849481,78.7万,微博YouTube精彩视频,412719797,https://www.bilibili.com/video/av89389326
78,爱 情 公 寓 6  【全员到齐】,848120,34.3万,赤刃edge,23695674,https://www.bilibili.com/video/av88805075
79,【片片】敢黑整个美国！这部电影好于91%悬疑片，万字解析《利刃出鞘》,845423,54.3万,小片片说大片,10119428,https://www.bilibili.com/video/av89902653
80,当你的同学上课rushb且不关麦？,844727,119.8万,安桥北_,353775452,https://www.bilibili.com/video/av89633985
81,时代变了，鸣人,844714,76.3万,团长acg,360597548,https://www.bilibili.com/video/av88683205
82,【神经病式配音】猜 猜 我 是 谁？,838830,50.5万,一支小暗暗,408940191,https://www.bilibili.com/video/av83701473
83,【中字】Ballet Beautiful 美丽芭蕾第三套  瘦腿提臀,836440,31.9万,pll25586,7937899,https://www.bilibili.com/video/av4489689
84,【处处吻】你的老婆可太撩了！世界都馋她一吻,833610,38.8万,动漫唯美风,1826871,https://www.bilibili.com/video/av85792473
85,【解析非洲蝗灾】会入侵到中国？全方位解析 辟谣2020年大蝗灾及预测,827647,69.1万,萝王2号,11264229,https://www.bilibili.com/video/av89564186
86,前方高能！只需10s！我将从你手中抢走硬币！,820321,32.6万,MJ小林大人嗷,114397228,https://www.bilibili.com/video/av75169619
87,合拍的正确使用方式,820255,98.7万,就是那个sans,318938902,https://www.bilibili.com/video/av89732191
88,祖 安 亲 爹 ????,819791,53.8万,快乐的台长,9354231,https://www.bilibili.com/video/av89915892
89,曾梦想仗剑走天涯，现如今依然宅在家。,817906,48.4万,空耳狂魔,3127528,https://www.bilibili.com/video/av89076093
90,兄 友 弟 恭,815323,56.3万,小潮院长,5970160,https://www.bilibili.com/video/av90048536
91,我愿称之为 绝 活,814365,73.8万,电喵大战皮卡丘,2949989,https://www.bilibili.com/video/av89347191
92,小伙花399元买了个干果机，真的可以用来做水果干吗？,811103,109.3万,贤宝宝Baby,3957971,https://www.bilibili.com/video/av89670987
93,一铁盘炸猪排，炸鸡柳，一次吃过瘾，啤酒加大蒜的吃法，太爽了,809178,155.4万,徐大sao,390461123,https://www.bilibili.com/video/av89825219
94,小红的新冠状病毒肺炎记忆,797980,49.4万,阿幕降临,38351330,https://www.bilibili.com/video/av89154163
95,【党妹】和超会做饭的闺蜜同居，足不出户也能大饱口福！｜厨房vlog,790194,39.3万,机智的党妹,466272,https://www.bilibili.com/video/av90187310
96,拯救蛐蛐混音！华晨宇《斗牛》歌手当打之年版的正确打开方式,787072,24.4万,我是编曲罗PD,148883019,https://www.bilibili.com/video/av89556163
97,曾火遍全网的《溯》，你是否还知道？,779659,27.4万,三笠・阿克曼,1542136,https://www.bilibili.com/video/av85054372
98,【中文翻唱】橫豎撇點折【神楽七奈】,776808,36.6万,神楽七奈Official,386900246,https://www.bilibili.com/video/av89172897
99,【真相曝光】证实93年闹鬼广告为谣言！,774372,96.4万,蓝星人-ET,47224192,https://www.bilibili.com/video/av89369544
100,笑出猪叫，笑出腹肌,771447,55.5万,七耳猕猴2017,90186819,https://www.bilibili.com/video/av87072285
